Frequency,P3® 750 JCAT G,P3® 750 CA,P3® 750 JCASS,P3® 625 JCAM109,P3® 750 JCASP SM MT,P3® 625 JCAT 3G AJ,QR® 860 JCA,QR® 715 JCASS SM MT,QR® 715 JCA,QR® 860 JCASST O,QR® 715 JCASST G,QR® 540 JCASP,QR® 540 JCASS,QR® 860 JCASP,P3® 875 JCASST B,QR® 540 JCASST B,QR® 540 JCA GREY SM MT,QR® 540 JCAT 3G AJ SM,P3® 500 JCAR,P3® 875 CA,P3® 500 JCASS,P3® 500  JCAM109,P3® 625 JCASST W,P3® 875 JCAT 3G AJ,P3® 875 JCASP,P3® 840 JCASS,P3® 750 JCAT 3G AJ,P3® 500 JCAT 3G AJ,QR® 540 JCAM109 SM MT,QR® 860 JCASS,QR® 540 JCAR SM MT,P3® 875 JCASS,P3® 750 JCASS SM MT,P3® 750 JCASST W,QR® 860 JCA SM MT,QR® 540 JCASS SM MT,QR® 540 JCA,P3® 500 JCAM109 SM MT,P3® 500 CA,P3® 625 JCASS SM MT,P3® 625 JCASST B,P3® 625 JCA,QR® 540 JCASST O SM MT,QR® 540 JCASP SM MT,QR® 715 JCAT R,QR® 715 JCA SM MT,P3® 500 JCAT G SM MT,QR® 715 JCAT 3G AJ,QR® 715 JCASS,QR® 715 JCAT G,P3® 700 JCA,P3® 875 JCA,P3® 500 JCA SM MT,P3® 625 JCASP,P3® 700 JCASS,P3® 625 JCASS,P3® 500 JCASST W,P3® 750 JCA,P3® 625 JCAR,QR® 860 JCAT 3G AJ,QR® 540 JCAT B,QR® 540 JCAM109,QR® 540 JCA SM MT,QR® 715 JCAT Y,QR® 540 JCAR,QR® 540 JCASST O,QR® 715 JCAT G SM MT,P3® 500 JCASS SM MT,P3® 625 CA,P3® 500 JCASST G SM MT,P3® 500 JCASP,P3® 500 JCAT B,QR® 860 JCASS SM MT,QR® 540 JCART R,QR® 715 JCASP,QR® 715 JCASST O SM MT,P3® 840 JCA,P3® 750 JCA SM MT,P3® 500 JCAT R SM MT,P3® 625 JCAT G SM MT,2273V WHRL RG6 90 1000,2293V WHRL RG11 95 1000,2312K CMRL 1/2 PLEN TRUNK 2400,2285K WHRL RG11 60 1000,2289K BK RL RG11 TRI 1000,2275V WHRL RG6 60 1000,2229V WHRL RG6 QD BC 1000,2281 WHRL RG6 TRI 1000,2276V BKRL RG6 90 1000,2276V WHRL RG6 90 1000,2285V WTRL RG11 60 1000,2227K WTRL RG6 QD 1000,2277V WHRL RG6 95 1000,2312V WTRL 1/2 PLEN TRUNK 2400
355.25,-3.207457073,-3.207457073,-3.207457073,-3.902912981,-3.207457073,-3.902912981,-2.739743126,-3.207457073,-3.207457073,-2.739743126,-3.207457073,-4.07217971,-4.07217971,-2.739743126,-2.783016509,-4.07217971,-4.062525389,-4.07217971,-4.72696296,-2.783016509,-4.72696296,-4.72696296,-3.902912981,-2.783016509,-2.783016509,-2.784366142,-3.207457073,-4.72696296,-4.07217971,-2.739743126,-4.07217971,-2.783016509,-3.207457073,-3.207457073,-2.739743126,-4.07217971,-4.07217971,-4.72696296,-4.72696296,-3.902912981,-3.902912981,-3.902912981,-4.07217971,-4.07217971,-3.207457073,-3.207457073,-4.72696296,-3.208193383,-3.207457073,-3.207457073,-3.245748014,-2.783016509,-4.72696296,-3.902912981,-3.245748014,-3.902912981,-4.72696296,-3.207457073,-3.902912981,-2.739743126,-4.07217971,-4.07217971,-4.07217971,-3.207457073,-4.07217971,-4.07217971,-3.207457073,-4.72696296,-3.902912981,-4.72696296,-4.72696296,-4.72696296,-2.739743126,-4.07217971,-3.207457073,-3.207457073,-2.784366142,-3.207457073,-4.72696296,-3.902912981,-12.92917382,-8.401578866,-5.958788086,-8.401578866,-8.401578866,-12.93489005,-12.92917382,-12.93489005,-12.93489005,-12.93489005,-8.401578866,-12.93489005,-13.72519,-5.958788086
361.25,-3.239124547,-3.239124547,-3.239124547,-3.940271317,-3.239124547,-3.940271317,-2.760695609,-3.239124547,-3.239124547,-2.760695609,-3.239124547,-4.108399054,-4.108399054,-2.760695609,-2.810440884,-4.108399054,-4.099648549,-4.108399054,-4.767966367,-2.810440884,-4.767966367,-4.767966367,-3.940271317,-2.810440884,-2.810440884,-2.81260942,-3.239124547,-4.767966367,-4.108399054,-2.760695609,-4.108399054,-2.810440884,-3.239124547,-3.239124547,-2.760695609,-4.108399054,-4.108399054,-4.767966367,-4.767966367,-3.940271317,-3.940271317,-3.940271317,-4.108399054,-4.108399054,-3.239124547,-3.239124547,-4.767966367,-3.241142495,-3.239124547,-3.239124547,-3.274437119,-2.810440884,-4.767966367,-3.940271317,-3.274437119,-3.940271317,-4.767966367,-3.239124547,-3.940271317,-2.760695609,-4.108399054,-4.108399054,-4.108399054,-3.239124547,-4.108399054,-4.108399054,-3.239124547,-4.767966367,-3.940271317,-4.767966367,-4.767966367,-4.767966367,-2.760695609,-4.108399054,-3.239124547,-3.239124547,-2.81260942,-3.239124547,-4.767966367,-3.940271317,-13.05637181,-8.484968814,-6.026573094,-8.484968814,-8.484968814,-13.06171161,-13.05637181,-13.06171161,-13.06171161,-13.06171161,-8.484968814,-13.06171161,-13.84978786,-6.026573094
367.25,-3.270941018,-3.270941018,-3.270941018,-3.977285081,-3.270941018,-3.977285081,-2.780436332,-3.270941018,-3.270941018,-2.780436332,-3.270941018,-4.144052494,-4.144052494,-2.780436332,-2.838682623,-4.144052494,-4.136602991,-4.144052494,-4.807920375,-2.838682623,-4.807920375,-4.807920375,-3.977285081,-2.838682623,-2.838682623,-2.841057725,-3.270941018,-4.807920375,-4.144052494,-2.780436332,-4.144052494,-2.838682623,-3.270941018,-3.270941018,-2.780436332,-4.144052494,-4.144052494,-4.807920375,-4.807920375,-3.977285081,-3.977285081,-3.977285081,-4.144052494,-4.144052494,-3.270941018,-3.270941018,-4.807920375,-3.274543884,-3.270941018,-3.270941018,-3.30247192,-2.838682623,-4.807920375,-3.977285081,-3.30247192,-3.977285081,-4.807920375,-3.270941018,-3.977285081,-2.780436332,-4.144052494,-4.144052494,-4.144052494,-3.270941018,-4.144052494,-4.144052494,-3.270941018,-4.807920375,-3.977285081,-4.807920375,-4.807920375,-4.807920375,-2.780436332,-4.144052494,-3.270941018,-3.270941018,-2.841057725,-3.270941018,-4.807920375,-3.977285081,-13.18317546,-8.568154349,-6.094157637,-8.568154349,-8.568154349,-13.18803055,-13.18317546,-13.18803055,-13.18803055,-13.18803055,-8.568154349,-13.18803055,-13.9732757,-6.094157637
373.25,-3.302741443,-3.302741443,-3.302741443,-4.013880217,-3.302741443,-4.013880217,-2.799494063,-3.302741443,-3.302741443,-2.799494063,-3.302741443,-4.179170011,-4.179170011,-2.799494063,-2.867348247,-4.179170011,-4.173266878,-4.179170011,-4.847110102,-2.867348247,-4.847110102,-4.847110102,-4.013880217,-2.867348247,-2.867348247,-2.869483951,-3.302741443,-4.847110102,-4.179170011,-2.799494063,-4.179170011,-2.867348247,-3.302741443,-3.302741443,-2.799494063,-4.179170011,-4.179170011,-4.847110102,-4.847110102,-4.013880217,-4.013880217,-4.013880217,-4.179170011,-4.179170011,-3.302741443,-3.302741443,-4.847110102,-3.308059083,-3.302741443,-3.302741443,-3.329990196,-2.867348247,-4.847110102,-4.013880217,-3.329990196,-4.013880217,-4.847110102,-3.302741443,-4.013880217,-2.799494063,-4.179170011,-4.179170011,-4.179170011,-3.302741443,-4.179170011,-4.179170011,-3.302741443,-4.847110102,-4.013880217,-4.847110102,-4.847110102,-4.847110102,-2.799494063,-4.179170011,-3.302741443,-3.302741443,-2.869483951,-3.302741443,-4.847110102,-4.013880217,-13.30962216,-8.651167289,-6.161552596,-8.651167289,-8.651167289,-13.3138774,-13.30962216,-13.3138774,-13.3138774,-13.3138774,-8.651167289,-13.3138774,-14.09570491,-6.161552596
379.25,-3.33436078,-3.33436078,-3.33436078,-4.049982667,-3.33436078,-4.049982667,-2.81839757,-3.33436078,-3.33436078,-2.81839757,-3.33436078,-4.213781582,-4.213781582,-2.81839757,-2.896044276,-4.213781582,-4.209518374,-4.213781582,-4.88582067,-2.896044276,-4.88582067,-4.88582067,-4.049982667,-2.896044276,-2.896044276,-2.897660988,-3.33436078,-4.88582067,-4.213781582,-2.81839757,-4.213781582,-2.896044276,-3.33436078,-3.33436078,-2.81839757,-4.213781582,-4.213781582,-4.88582067,-4.88582067,-4.049982667,-4.049982667,-4.049982667,-4.213781582,-4.213781582,-3.33436078,-3.33436078,-4.88582067,-3.341349626,-3.33436078,-3.33436078,-3.357129727,-2.896044276,-4.88582067,-4.049982667,-3.357129727,-4.049982667,-4.88582067,-3.33436078,-4.049982667,-2.81839757,-4.213781582,-4.213781582,-4.213781582,-3.33436078,-4.213781582,-4.213781582,-3.33436078,-4.88582067,-4.049982667,-4.88582067,-4.88582067,-4.88582067,-2.81839757,-4.213781582,-3.33436078,-3.33436078,-2.897660988,-3.33436078,-4.88582067,-4.049982667,-13.4357493,-8.73403945,-6.228768849,-8.73403945,-8.73403945,-13.43928268,-13.4357493,-13.43928268,-13.43928268,-13.43928268,-8.73403945,-13.43928268,-14.21712686,-6.228768849
385.25,-3.365633989,-3.365633989,-3.365633989,-4.085518374,-3.365633989,-4.085518374,-2.837675621,-3.365633989,-3.365633989,-2.837675621,-3.365633989,-4.247917187,-4.247917187,-2.837675621,-2.924377233,-4.247917187,-4.245235643,-4.247917187,-4.924337197,-2.924377233,-4.924337197,-4.924337197,-4.085518374,-2.924377233,-2.924377233,-2.925361728,-3.365633989,-4.924337197,-4.247917187,-2.837675621,-4.247917187,-2.924377233,-3.365633989,-3.365633989,-2.837675621,-4.247917187,-4.247917187,-4.924337197,-4.924337197,-4.085518374,-4.085518374,-4.085518374,-4.247917187,-4.247917187,-3.365633989,-3.365633989,-4.924337197,-3.374077045,-3.365633989,-3.365633989,-3.384028292,-2.924377233,-4.924337197,-4.085518374,-3.384028292,-4.085518374,-4.924337197,-3.365633989,-4.085518374,-2.837675621,-4.247917187,-4.247917187,-4.247917187,-3.365633989,-4.247917187,-4.247917187,-3.365633989,-4.924337197,-4.085518374,-4.924337197,-4.924337197,-4.924337197,-2.837675621,-4.247917187,-3.365633989,-3.365633989,-2.925361728,-3.365633989,-4.924337197,-4.085518374,-13.56159428,-8.81680265,-6.295817278,-8.81680265,-8.81680265,-13.56427692,-13.56159428,-13.56427692,-13.56427692,-13.56427692,-8.81680265,-13.56427692,-14.33759294,-6.295817278
391.25,-3.396396027,-3.396396027,-3.396396027,-4.120413281,-3.396396027,-4.120413281,-2.857856984,-3.396396027,-3.396396027,-2.857856984,-3.396396027,-4.281606805,-4.281606805,-2.857856984,-2.951953637,-4.281606805,-4.28029685,-4.281606805,-4.962944805,-2.951953637,-4.962944805,-4.962944805,-4.120413281,-2.951953637,-2.951953637,-2.952359063,-3.396396027,-4.962944805,-4.281606805,-2.857856984,-4.281606805,-2.951953637,-3.396396027,-3.396396027,-2.857856984,-4.281606805,-4.281606805,-4.962944805,-4.962944805,-4.120413281,-4.120413281,-4.120413281,-4.281606805,-4.281606805,-3.396396027,-3.396396027,-4.962944805,-3.405902873,-3.396396027,-3.396396027,-3.410823669,-2.951953637,-4.962944805,-4.120413281,-3.410823669,-4.120413281,-4.962944805,-3.396396027,-4.120413281,-2.857856984,-4.281606805,-4.281606805,-4.281606805,-3.396396027,-4.281606805,-4.281606805,-3.396396027,-4.962944805,-4.120413281,-4.962944805,-4.962944805,-4.962944805,-2.857856984,-4.281606805,-3.396396027,-3.396396027,-2.952359063,-3.396396027,-4.962944805,-4.120413281,-13.68719449,-8.899488706,-6.362708763,-8.899488706,-8.899488706,-13.68889064,-13.68719449,-13.68889064,-13.68889064,-13.68889064,-8.899488706,-13.68889064,-14.45715452,-6.362708763
397.25,-3.426481852,-3.426481852,-3.426481852,-4.154593331,-3.426481852,-4.154593331,-2.879470427,-3.426481852,-3.426481852,-2.879470427,-3.426481852,-4.314880416,-4.314880416,-2.879470427,-2.978380012,-4.314880416,-4.314580158,-4.314880416,-5.001928612,-2.978380012,-5.001928612,-5.001928612,-4.154593331,-2.978380012,-2.978380012,-2.978425883,-3.426481852,-5.001928612,-4.314880416,-2.879470427,-4.314880416,-2.978380012,-3.426481852,-3.426481852,-2.879470427,-4.314880416,-4.314880416,-5.001928612,-5.001928612,-4.154593331,-4.154593331,-4.154593331,-4.314880416,-4.314880416,-3.426481852,-3.426481852,-5.001928612,-3.436488643,-3.426481852,-3.426481852,-3.437653638,-2.978380012,-5.001928612,-4.154593331,-3.437653638,-4.154593331,-5.001928612,-3.426481852,-4.154593331,-2.879470427,-4.314880416,-4.314880416,-4.314880416,-3.426481852,-4.314880416,-4.314880416,-3.426481852,-5.001928612,-4.154593331,-5.001928612,-5.001928612,-5.001928612,-2.879470427,-4.314880416,-3.426481852,-3.426481852,-2.978425883,-3.426481852,-5.001928612,-4.154593331,-13.81258734,-8.982129434,-6.429454184,-8.982129434,-8.982129434,-13.81315439,-13.81258734,-13.81315439,-13.81315439,-13.81315439,-8.982129434,-13.81315439,-14.57586299,-6.429454184
403.25,-3.455813573,-3.455813573,-3.455813573,-4.187955314,-3.455813573,-4.187955314,-2.90315263,-3.455750183,-3.455750183,-2.90315263,-3.455750183,-4.347632512,-4.347632512,-2.90315263,-3.00335901,-4.347632512,-4.34788195,-4.347632512,-5.041470056,-3.00335901,-5.041470056,-5.041470056,-4.187955314,-3.00335901,-3.00335901,-3.00335901,-3.455813573,-5.041470056,-4.347632512,-2.90315263,-4.347632512,-3.00335901,-3.455813573,-3.455813573,-2.90315263,-4.347632512,-4.347632512,-5.041470056,-5.041470056,-4.187955314,-4.187955314,-4.187955314,-4.347632512,-4.347632512,-3.455750183,-3.455750183,-5.041470056,-3.465556342,-3.455750183,-3.455750183,-3.464558496,-3.00335901,-5.041470056,-4.187955314,-3.464558496,-4.187955314,-5.041470056,-3.455813573,-4.187955314,-2.90315263,-4.347632512,-4.347632512,-4.347632512,-3.455750183,-4.347632512,-4.347632512,-3.455750183,-5.041470056,-4.187955314,-5.041470056,-5.041470056,-5.041470056,-2.90315263,-4.347632512,-3.455750183,-3.455750183,-3.00335901,-3.455813573,-5.041470056,-4.187955314,-13.93773903,-9.064682139,-6.496061778,-9.064682139,-9.064682139,-13.93707199,-13.93773903,-13.93707199,-13.93707199,-13.93707199,-9.064682139,-13.93707199,-14.69345482,-6.496061778
409.25,-3.484727965,-3.484727965,-3.484727965,-4.220382087,-3.484727965,-4.220382087,-2.92946208,-3.484280374,-3.484280374,-2.92946208,-3.484280374,-4.379324665,-4.379324665,-2.92946208,-3.027237681,-4.379324665,-4.379864068,-4.379324665,-5.081191613,-3.027237681,-5.081191613,-5.081191613,-4.220382087,-3.027237681,-3.027237681,-3.027237681,-3.484727965,-5.081191613,-4.379324665,-2.92946208,-4.379324665,-3.027237681,-3.484727965,-3.484727965,-2.92946208,-4.379324665,-4.379324665,-5.081191613,-5.081191613,-4.220382087,-4.220382087,-4.220382087,-4.379324665,-4.379324665,-3.484280374,-3.484280374,-5.081191613,-3.493322199,-3.484280374,-3.484280374,-3.491164387,-3.027237681,-5.081191613,-4.220382087,-3.491164387,-4.220382087,-5.081191613,-3.484727965,-4.220382087,-2.92946208,-4.379324665,-4.379324665,-4.379324665,-3.484280374,-4.379324665,-4.379324665,-3.484280374,-5.081191613,-4.220382087,-5.081191613,-5.081191613,-5.081191613,-2.92946208,-4.379324665,-3.484280374,-3.484280374,-3.027237681,-3.484727965,-5.081191613,-4.220382087,-14.06231402,-9.146792407,-6.562524097,-9.146792407,-9.146792407,-14.0605274,-14.06231402,-14.0605274,-14.0605274,-14.0605274,-9.146792407,-14.0605274,-14.80840171,-6.562524097
415.25,-3.513261988,-3.513261988,-3.513261988,-4.252035992,-3.513261988,-4.252035992,-2.957736352,-3.512224543,-3.512224543,-2.957736352,-3.512224543,-4.410188616,-4.410188616,-2.957736352,-3.050300865,-4.410188616,-4.410835305,-4.410188616,-5.120978235,-3.050300865,-5.120978235,-5.120978235,-4.252035992,-3.050300865,-3.050300865,-3.050300865,-3.513261988,-5.120978235,-4.410188616,-2.957736352,-4.410188616,-3.050300865,-3.513261988,-3.513261988,-2.957736352,-4.410188616,-4.410188616,-5.120978235,-5.120978235,-4.252035992,-4.252035992,-4.252035992,-4.410188616,-4.410188616,-3.512224543,-3.512224543,-5.120978235,-3.520091164,-3.512224543,-3.512224543,-3.517504166,-3.050300865,-5.120978235,-4.252035992,-3.517504166,-4.252035992,-5.120978235,-3.513261988,-4.252035992,-2.957736352,-4.410188616,-4.410188616,-4.410188616,-3.512224543,-4.410188616,-4.410188616,-3.512224543,-5.120978235,-4.252035992,-5.120978235,-5.120978235,-5.120978235,-2.957736352,-4.410188616,-3.512224543,-3.512224543,-3.050300865,-3.513261988,-5.120978235,-4.252035992,-14.18627482,-9.228423694,-6.628838322,-9.228423694,-9.228423694,-14.18350654,-14.18627482,-14.18350654,-14.18350654,-14.18350654,-9.228423694,-14.18350654,-14.92059411,-6.628838322
421.25,-3.54139527,-3.54139527,-3.54139527,-4.283109576,-3.54139527,-4.283109576,-2.987189739,-3.539728689,-3.539728689,-2.987189739,-3.539728689,-4.44056395,-4.44056395,-2.987189739,-3.072786682,-4.44056395,-4.441180759,-4.44056395,-5.160777286,-3.072786682,-5.160777286,-5.160777286,-4.283109576,-3.072786682,-3.072786682,-3.072786682,-3.54139527,-5.160777286,-4.44056395,-2.987189739,-4.44056395,-3.072786682,-3.54139527,-3.54139527,-2.987189739,-4.44056395,-4.44056395,-5.160777286,-5.160777286,-4.283109576,-4.283109576,-4.283109576,-4.44056395,-4.44056395,-3.539728689,-3.539728689,-5.160777286,-3.546146675,-3.539728689,-3.539728689,-3.543679208,-3.072786682,-5.160777286,-4.283109576,-3.543679208,-4.283109576,-5.160777286,-3.54139527,-4.283109576,-2.987189739,-4.44056395,-4.44056395,-4.44056395,-3.539728689,-4.44056395,-4.44056395,-3.539728689,-5.160777286,-4.283109576,-5.160777286,-5.160777286,-5.160777286,-2.987189739,-4.44056395,-3.539728689,-3.539728689,-3.072786682,-3.54139527,-5.160777286,-4.283109576,-14.30963403,-9.30959226,-6.695003095,-9.30959226,-9.30959226,-14.30601351,-14.30963403,-14.30601351,-14.30601351,-14.30601351,-9.30959226,-14.30601351,-15.03015032,-6.695003095
427.25,-3.569107439,-3.569107439,-3.569107439,-4.313795389,-3.569107439,-4.313795389,-3.017036532,-3.566938811,-3.566938811,-3.017036532,-3.566938811,-4.470790254,-4.470790254,-3.017036532,-3.094933255,-4.470790254,-4.471285528,-4.470790254,-5.200536128,-3.094933255,-5.200536128,-5.200536128,-4.313795389,-3.094933255,-3.094933255,-3.094933255,-3.569107439,-5.200536128,-4.470790254,-3.017036532,-4.470790254,-3.094933255,-3.569107439,-3.569107439,-3.017036532,-4.470790254,-4.470790254,-5.200536128,-5.200536128,-4.313795389,-4.313795389,-4.313795389,-4.470790254,-4.470790254,-3.566938811,-3.566938811,-5.200536128,-3.571772172,-3.566938811,-3.566938811,-3.569790891,-3.094933255,-5.200536128,-4.313795389,-3.569790891,-4.313795389,-5.200536128,-3.569107439,-4.313795389,-3.017036532,-4.470790254,-4.470790254,-4.470790254,-3.566938811,-4.470790254,-4.470790254,-3.566938811,-5.200536128,-4.313795389,-5.200536128,-5.200536128,-5.200536128,-3.017036532,-4.470790254,-3.566938811,-3.566938811,-3.094933255,-3.569107439,-5.200536128,-4.313795389,-14.43240423,-9.390314368,-6.761017062,-9.390314368,-9.390314368,-14.42805242,-14.43240423,-14.42805242,-14.42805242,-14.42805242,-9.390314368,-14.42805242,-15.13718862,-6.761017062
433.25,-3.596378123,-3.596378123,-3.596378123,-4.344285979,-3.596378123,-4.344285979,-3.046491023,-3.594000907,-3.594000907,-3.046491023,-3.594000907,-4.501207113,-4.501207113,-3.046491023,-3.116978707,-4.501207113,-4.501534708,-4.501207113,-5.240202123,-3.116978707,-5.240202123,-5.240202123,-4.344285979,-3.116978707,-3.116978707,-3.116978707,-3.596378123,-5.240202123,-4.501207113,-3.046491023,-4.501207113,-3.116978707,-3.596378123,-3.596378123,-3.046491023,-4.501207113,-4.501207113,-5.240202123,-5.240202123,-4.344285979,-4.344285979,-4.344285979,-4.501207113,-4.501207113,-3.594000907,-3.594000907,-5.240202123,-3.597251093,-3.594000907,-3.594000907,-3.59594059,-3.116978707,-5.240202123,-4.344285979,-3.59594059,-4.344285979,-5.240202123,-3.596378123,-4.344285979,-3.046491023,-4.501207113,-4.501207113,-4.501207113,-3.594000907,-4.501207113,-4.501207113,-3.594000907,-5.240202123,-4.344285979,-5.240202123,-5.240202123,-5.240202123,-3.046491023,-4.501207113,-3.594000907,-3.594000907,-3.116978707,-3.596378123,-5.240202123,-4.344285979,-14.55459802,-9.470606278,-6.826878865,-9.470606278,-9.470606278,-14.54962735,-14.55459802,-14.54962735,-14.54962735,-14.54962735,-9.470606278,-14.54962735,-15.24182728,-6.826878865
439.25,-3.623186951,-3.623186951,-3.623186951,-4.374773894,-3.623186951,-4.374773894,-3.074767503,-3.621060975,-3.621060975,-3.074767503,-3.621060975,-4.532154112,-4.532154112,-3.074767503,-3.139161159,-4.532154112,-4.532313396,-4.532154112,-5.279722633,-3.139161159,-5.279722633,-5.279722633,-4.374773894,-3.139161159,-3.139161159,-3.139161159,-3.623186951,-5.279722633,-4.532154112,-3.074767503,-4.532154112,-3.139161159,-3.623186951,-3.623186951,-3.074767503,-4.532154112,-4.532154112,-5.279722633,-5.279722633,-4.374773894,-4.374773894,-4.374773894,-4.532154112,-4.532154112,-3.621060975,-3.621060975,-5.279722633,-3.622866877,-3.621060975,-3.621060975,-3.62222968,-3.139161159,-5.279722633,-4.374773894,-3.62222968,-4.374773894,-5.279722633,-3.623186951,-4.374773894,-3.074767503,-4.532154112,-4.532154112,-4.532154112,-3.621060975,-4.532154112,-4.532154112,-3.621060975,-5.279722633,-4.374773894,-5.279722633,-5.279722633,-5.279722633,-3.074767503,-4.532154112,-3.621060975,-3.621060975,-3.139161159,-3.623186951,-5.279722633,-4.374773894,-14.676228,-9.550484251,-6.892587148,-9.550484251,-9.550484251,-14.67074243,-14.676228,-14.67074243,-14.67074243,-14.67074243,-9.550484251,-14.67074243,-15.34418459,-6.892587148
445.25,-3.64951355,-3.64951355,-3.64951355,-4.405451684,-3.64951355,-4.405451684,-3.101080265,-3.648265013,-3.648265013,-3.101080265,-3.648265013,-4.563970838,-4.563970838,-3.101080265,-3.161718734,-4.563970838,-4.56400669,-4.563970838,-5.319045022,-3.161718734,-5.319045022,-5.319045022,-4.405451684,-3.161718734,-3.161718734,-3.161718734,-3.64951355,-5.319045022,-4.563970838,-3.101080265,-4.563970838,-3.161718734,-3.64951355,-3.64951355,-3.101080265,-4.563970838,-4.563970838,-5.319045022,-5.319045022,-4.405451684,-4.405451684,-4.405451684,-4.563970838,-4.563970838,-3.648265013,-3.648265013,-5.319045022,-3.648902963,-3.648265013,-3.648265013,-3.648759539,-3.161718734,-5.319045022,-4.405451684,-3.648759539,-4.405451684,-5.319045022,-3.64951355,-4.405451684,-3.101080265,-4.563970838,-4.563970838,-4.563970838,-3.648265013,-4.563970838,-4.563970838,-3.648265013,-5.319045022,-4.405451684,-5.319045022,-5.319045022,-5.319045022,-3.101080265,-4.563970838,-3.648265013,-3.648265013,-3.161718734,-3.64951355,-5.319045022,-4.405451684,-14.79730677,-9.629964548,-6.958140555,-9.629964548,-9.629964548,-14.79140175,-14.79730677,-14.79140175,-14.79140175,-14.79140175,-9.629964548,-14.79140175,-15.44437883,-6.958140555
450,-3.67,-3.67,-3.67,-4.43,-3.67,-4.43,-3.12,-3.67,-3.67,-3.12,-3.67,-4.59,-4.59,-3.12,-3.18,-4.59,-4.59,-4.59,-5.35,-3.18,-5.35,-5.35,-4.43,-3.18,-3.18,-3.18,-3.67,-5.35,-4.59,-3.12,-4.59,-3.18,-3.67,-3.67,-3.12,-4.59,-4.59,-5.35,-5.35,-4.43,-4.43,-4.43,-4.59,-4.59,-3.67,-3.67,-5.35,-3.67,-3.67,-3.67,-3.67,-3.18,-5.35,-4.43,-3.67,-4.43,-5.35,-3.67,-4.43,-3.12,-4.59,-4.59,-4.59,-3.67,-4.59,-4.59,-3.67,-5.35,-4.43,-5.35,-5.35,-5.35,-3.12,-4.59,-3.67,-3.67,-3.18,-3.67,-5.35,-4.43,-14.89277818,-9.69261515,-7.009926269,-9.69261515,-9.69261515,-14.88660318,-14.89277818,-14.88660318,-14.88660318,-14.88660318,-9.69261515,-14.88660318,-15.52224328,-7.009926269
451.25,-3.675331613,-3.675331613,-3.675331613,-4.4365097,-3.675331613,-4.4365097,-3.124671667,-3.675759778,-3.675759778,-3.124671667,-3.675759778,-4.597014882,-4.597014882,-3.124671667,-3.184891667,-4.597014882,-4.597014882,-4.597014882,-5.35812329,-3.184891667,-5.35812329,-5.35812329,-4.4365097,-3.184891667,-3.184891667,-3.184878125,-3.675331613,-5.35812329,-4.597014882,-3.124671667,-4.597014882,-3.184891667,-3.675331613,-3.675331613,-3.124671667,-4.597014882,-4.597014882,-5.35812329,-5.35812329,-4.4365097,-4.4365097,-4.4365097,-4.597014882,-4.597014882,-3.675759778,-3.675759778,-5.35812329,-3.67563831,-3.675759778,-3.675759778,-3.67563831,-3.184891667,-5.35812329,-4.4365097,-3.67563831,-4.4365097,-5.35812329,-3.675331613,-4.4365097,-3.124671667,-4.597014882,-4.597014882,-4.597014882,-3.675759778,-4.597014882,-4.597014882,-3.675759778,-5.35812329,-4.4365097,-5.35812329,-5.35812329,-5.35812329,-3.124671667,-4.597014882,-3.675759778,-3.675759778,-3.184878125,-3.675331613,-5.35812329,-4.4365097,-14.91784691,-9.709063431,-7.02353773,-9.709063431,-9.709063431,-14.9116094,-14.91784691,-14.9116094,-14.9116094,-14.9116094,-9.709063431,-14.9116094,-15.54252828,-7.02353773
457.25,-3.700479051,-3.700479051,-3.700479051,-4.467986155,-3.700479051,-4.467986155,-3.145924483,-3.703638458,-3.703638458,-3.145924483,-3.703638458,-4.631940872,-4.631940872,-3.145924483,-3.208855892,-4.631940872,-4.631940872,-4.631940872,-5.397107402,-3.208855892,-5.397107402,-5.397107402,-4.467986155,-3.208855892,-3.208855892,-3.208456417,-3.700479051,-5.397107402,-4.631940872,-3.145924483,-4.631940872,-3.208855892,-3.700479051,-3.700479051,-3.145924483,-4.631940872,-4.631940872,-5.397107402,-5.397107402,-4.467986155,-4.467986155,-4.467986155,-4.631940872,-4.631940872,-3.703638458,-3.703638458,-5.397107402,-3.703096687,-3.703638458,-3.703638458,-3.703096687,-3.208855892,-5.397107402,-4.467986155,-3.703096687,-4.467986155,-5.397107402,-3.700479051,-4.467986155,-3.145924483,-4.631940872,-4.631940872,-4.631940872,-3.703638458,-4.631940872,-4.631940872,-3.703638458,-5.397107402,-4.467986155,-5.397107402,-5.397107402,-5.397107402,-3.145924483,-4.631940872,-3.703638458,-3.703638458,-3.208456417,-3.700479051,-5.397107402,-4.467986155,-15.03786104,-9.787797159,-7.088777316,-9.787797159,-9.787797159,-15.0313695,-15.03786104,-15.0313695,-15.0313695,-15.0313695,-9.787797159,-15.0313695,-15.63875121,-7.088777316
