Part Name,Description
2275V WHRL RG6 60 1000,"RG 6 Type 60% Braid Plenum Video Coaxial Cable, white jacket, 1000 ft (305 m) reel"
2229V WHRL RG6 QD BC 1000,"RG 6 Type Quad Shield Plenum Video Coaxial Cable, white jacket, 1000 ft (305 m) reel"
2286V WTRL RG11 95 1000,"RG 11 Type 95% Braid Plenum Video Security Coaxial Cable, white jacket, 1000 ft (305 m) reel"
2281 WHRL RG6 TRI 1000,"RG 6 Type 77% Braid Trishield Plenum Video Coaxial Cable, white jacket, 1000 ft (305 m) reel"
2287K WHRL RG11 QD 1000,"RG 11 Type Quad Shield Plenum Video Coaxial Cable, white jacket, 1000 ft (305 m) reel"
2276V BKRL RG6 90 1000,"RG 6 Type 90% Braid Plenum Video Coaxial Cable, black jacket, 1000 ft (305 m) reel"
2279V WHRL RG6 95 1000,"RG 6 Type 95% Braid Plenum Video Coaxial Cable, white jacket, 1000 ft (305 m) reel"
2276V WHRL RG6 90 1000,"RG 6 Type 90% Braid Plenum Video Coaxial Cable, white jacket, 1000 ft (305 m) reel"
2285V WTRL RG11 60 1000,"RG 11 Type 60% Braid Plenum Video Coaxial Cable, white jacket, 1000 ft (305 m) reel"
2227K WTRL RG6 QD 1000,"RG 6 Type Quad Shield Plenum Video Coaxial Cable, white jacket, 1000 ft (305 m) reel"
2287V WTRL RG11 QD 1000,"RG 11 Type Quad Shield Plenum Video Coaxial Cable, white jacket, 1000 ft (305 m) reel"
2277V WHRL RG6 95 1000,"RG 6 Type 95% Braid Plenum Video Security Coaxial Cable, white jacket, 1000 ft (305 m) reel"
2312V WTRL 1/2 PLEN TRUNK 2400,"PIII® 500 JCAP 1/2” Plenum Trunk and Distribution Coaxial Cable, white jacket, 2400 ft (732 m) reel"
