Frequency,P3® 750 JCAT G,P3® 750 CA,P3® 750 JCASS,P3® 625 JCAM109,P3® 750 JCASP SM MT,P3® 625 JCAT 3G AJ,QR® 860 JCA,QR® 715 JCASS SM MT,QR® 715 JCA,QR® 860 JCASST O,QR® 715 JCASST G,QR® 540 JCASP,QR® 540 JCASS,QR® 860 JCASP,P3® 875 JCASST B,QR® 540 JCASST B,QR® 540 JCA GREY SM MT,QR® 540 JCAT 3G AJ SM,P3® 500 JCAR,P3® 875 CA,P3® 500 JCASS,P3® 500  JCAM109,P3® 625 JCASST W,P3® 875 JCAT 3G AJ,P3® 875 JCASP,P3® 840 JCASS,P3® 750 JCAT 3G AJ,P3® 500 JCAT 3G AJ,QR® 540 JCAM109 SM MT,QR® 860 JCASS,QR® 540 JCAR SM MT,P3® 875 JCASS,P3® 750 JCASS SM MT,P3® 750 JCASST W,QR® 860 JCA SM MT,QR® 540 JCASS SM MT,QR® 540 JCA,P3® 500 JCAM109 SM MT,P3® 500 CA,P3® 625 JCASS SM MT,P3® 625 JCASST B,P3® 625 JCA,QR® 540 JCASST O SM MT,QR® 540 JCASP SM MT,QR® 715 JCAT R,QR® 715 JCA SM MT,P3® 500 JCAT G SM MT,QR® 715 JCAT 3G AJ,QR® 715 JCASS,QR® 715 JCAT G,P3® 700 JCA,P3® 875 JCA,P3® 500 JCA SM MT,P3® 625 JCASP,P3® 700 JCASS,P3® 625 JCASS,P3® 500 JCASST W,P3® 750 JCA,P3® 625 JCAR,QR® 860 JCAT 3G AJ,QR® 540 JCAT B,QR® 540 JCAM109,QR® 540 JCA SM MT,QR® 715 JCAT Y,QR® 540 JCAR,QR® 540 JCASST O,QR® 715 JCAT G SM MT,P3® 500 JCASS SM MT,P3® 625 CA,P3® 500 JCASST G SM MT,P3® 500 JCASP,P3® 500 JCAT B,QR® 860 JCASS SM MT,QR® 540 JCART R,QR® 715 JCASP,QR® 715 JCASST O SM MT,P3® 840 JCA,P3® 750 JCA SM MT,P3® 500 JCAT R SM MT,P3® 625 JCAT G SM MT,2273V WHRL RG6 90 1000,2293V WHRL RG11 95 1000,2312K CMRL 1/2 PLEN TRUNK 2400,2285K WHRL RG11 60 1000,2289K BK RL RG11 TRI 1000,2227V WHRL RG6 QD 1000,2275V WHRL RG6 60 1000,2229V WHRL RG6 QD BC 1000,2286V WTRL RG11 95 1000,2281 WHRL RG6 TRI 1000,2287K WHRL RG11 QD 1000,2276V BKRL RG6 90 1000,2279V WHRL RG6 95 1000,2276V WHRL RG6 90 1000,2285V WTRL RG11 60 1000,2227K WTRL RG6 QD 1000,2287V WTRL RG11 QD 1000,2277V WHRL RG6 95 1000,2312V WTRL 1/2 PLEN TRUNK 2400
361.25,-0.98820925,-0.98820925,-0.98820925,-1.201097851,-0.98820925,-1.201097851,-0.842049219,-0.98820925,-0.98820925,-0.842049219,-0.98820925,-1.251097851,-1.251097851,-0.842049219,-0.855233582,-1.251097851,-1.251097851,-1.251097851,-1.453728551,-0.855233582,-1.453728551,-1.453728551,-1.201097851,-0.855233582,-0.855233582,-0.855961262,-0.98820925,-1.453728551,-1.251097851,-0.842049219,-1.251097851,-0.855233582,-0.98820925,-0.98820925,-0.842049219,-1.251097851,-1.251097851,-1.453728551,-1.453728551,-1.201097851,-1.201097851,-1.201097851,-1.251097851,-1.251097851,-0.98820925,-0.98820925,-1.453728551,-0.98820925,-0.98820925,-0.98820925,-0.996380656,-0.855233582,-1.453728551,-1.201097851,-0.996380656,-1.201097851,-1.453728551,-0.98820925,-1.201097851,-0.842049219,-1.251097851,-1.251097851,-1.251097851,-0.98820925,-1.251097851,-1.251097851,-0.98820925,-1.453728551,-1.201097851,-1.453728551,-1.453728551,-1.453728551,-0.842049219,-1.251097851,-0.98820925,-0.98820925,-0.855961262,-0.98820925,-1.453728551,-1.201097851,-3.981706713,-2.586825713,-1.837821791,-2.586825713,-2.586825713,-3.983482165,-3.983482165,-3.981706713,-3.041235358,-3.983482165,-2.586825713,-3.983482165,-4.088187989,-3.983482165,-2.586825713,-3.983482165,-2.586825713,-4.222162108,-1.837821791
367.25,-0.998015794,-0.998015794,-0.998015794,-1.212163854,-0.998015794,-1.212163854,-0.847833769,-0.998015794,-0.998015794,-0.847833769,-0.998015794,-1.262163854,-1.262163854,-0.847833769,-0.863772796,-1.262163854,-1.262163854,-1.262163854,-1.465845578,-0.863772796,-1.465845578,-1.465845578,-1.212163854,-0.863772796,-0.863772796,-0.864569792,-0.998015794,-1.465845578,-1.262163854,-0.847833769,-1.262163854,-0.863772796,-0.998015794,-0.998015794,-0.847833769,-1.262163854,-1.262163854,-1.465845578,-1.465845578,-1.212163854,-1.212163854,-1.212163854,-1.262163854,-1.262163854,-0.998015794,-0.998015794,-1.465845578,-0.998015794,-0.998015794,-0.998015794,-1.00484073,-0.863772796,-1.465845578,-1.212163854,-1.00484073,-1.212163854,-1.465845578,-0.998015794,-1.212163854,-0.847833769,-1.262163854,-1.262163854,-1.262163854,-0.998015794,-1.262163854,-1.262163854,-0.998015794,-1.465845578,-1.212163854,-1.465845578,-1.465845578,-1.465845578,-0.847833769,-1.262163854,-0.998015794,-0.998015794,-0.864569792,-0.998015794,-1.465845578,-1.212163854,-4.020406682,-2.612201606,-1.858440912,-2.612201606,-2.612201606,-4.022020971,-4.022020971,-4.020406682,-3.072165486,-4.022020971,-2.612201606,-4.022020971,-4.127261541,-4.022020971,-2.612201606,-4.022020971,-2.612201606,-4.259803701,-1.858440912
373.25,-1.007816962,-1.007816962,-1.007816962,-1.223092874,-1.007816962,-1.223092874,-0.853395119,-1.007816962,-1.007816962,-0.853395119,-1.007816962,-1.273092874,-1.273092874,-0.853395119,-0.872456231,-1.273092874,-1.273092874,-1.273092874,-1.477709951,-0.872456231,-1.477709951,-1.477709951,-1.223092874,-0.872456231,-0.872456231,-0.873172894,-1.007816962,-1.477709951,-1.273092874,-0.853395119,-1.273092874,-0.872456231,-1.007816962,-1.007816962,-0.853395119,-1.273092874,-1.273092874,-1.477709951,-1.477709951,-1.223092874,-1.223092874,-1.223092874,-1.273092874,-1.273092874,-1.007816962,-1.007816962,-1.477709951,-1.007816962,-1.007816962,-1.007816962,-1.013171108,-0.872456231,-1.477709951,-1.223092874,-1.013171108,-1.223092874,-1.477709951,-1.007816962,-1.223092874,-0.853395119,-1.273092874,-1.273092874,-1.273092874,-1.007816962,-1.273092874,-1.273092874,-1.007816962,-1.477709951,-1.223092874,-1.477709951,-1.477709951,-1.477709951,-0.853395119,-1.273092874,-1.007816962,-1.007816962,-0.873172894,-1.007816962,-1.477709951,-1.223092874,-4.0589967,-2.637522938,-1.8789995,-2.637522938,-2.637522938,-4.060411542,-4.060411542,-4.0589967,-3.103025419,-4.060411542,-2.637522938,-4.060411542,-4.165962492,-4.060411542,-2.637522938,-4.060411542,-2.637522938,-4.297123322,-1.8789995
379.25,-1.017557458,-1.017557458,-1.017557458,-1.233879133,-1.017557458,-1.233879133,-0.858906069,-1.017557458,-1.017557458,-0.858906069,-1.017557458,-1.283879133,-1.283879133,-0.858906069,-0.881172233,-1.283879133,-1.283879133,-1.283879133,-1.489415924,-0.881172233,-1.489415924,-1.489415924,-1.233879133,-0.881172233,-0.881172233,-0.881714741,-1.017557458,-1.489415924,-1.283879133,-0.858906069,-1.283879133,-0.881172233,-1.017557458,-1.017557458,-0.858906069,-1.283879133,-1.283879133,-1.489415924,-1.489415924,-1.233879133,-1.233879133,-1.233879133,-1.283879133,-1.283879133,-1.017557458,-1.017557458,-1.489415924,-1.017557458,-1.017557458,-1.017557458,-1.021420174,-0.881172233,-1.489415924,-1.233879133,-1.021420174,-1.233879133,-1.489415924,-1.017557458,-1.233879133,-0.858906069,-1.283879133,-1.283879133,-1.283879133,-1.017557458,-1.283879133,-1.283879133,-1.017557458,-1.489415924,-1.233879133,-1.489415924,-1.489415924,-1.489415924,-0.858906069,-1.283879133,-1.017557458,-1.017557458,-0.881714741,-1.017557458,-1.489415924,-1.233879133,-4.097487989,-2.662799252,-1.89950061,-2.662799252,-2.662799252,-4.098662817,-4.098662817,-4.097487989,-3.133824503,-4.098662817,-2.662799252,-4.098662817,-4.204299124,-4.098662817,-2.662799252,-4.098662817,-2.662799252,-4.33413666,-1.89950061
385.25,-1.027181986,-1.027181986,-1.027181986,-1.244516854,-1.027181986,-1.244516854,-0.864539419,-1.027181986,-1.027181986,-0.864539419,-1.027181986,-1.294516854,-1.294516854,-0.864539419,-0.889809145,-1.294516854,-1.294516854,-1.294516854,-1.501057751,-0.889809145,-1.501057751,-1.501057751,-1.244516854,-0.889809145,-0.889809145,-0.890139505,-1.027181986,-1.501057751,-1.294516854,-0.864539419,-1.294516854,-0.889809145,-1.027181986,-1.027181986,-0.864539419,-1.294516854,-1.294516854,-1.501057751,-1.501057751,-1.244516854,-1.244516854,-1.244516854,-1.294516854,-1.294516854,-1.027181986,-1.027181986,-1.501057751,-1.027181986,-1.027181986,-1.027181986,-1.029636312,-0.889809145,-1.501057751,-1.244516854,-1.029636312,-1.244516854,-1.501057751,-1.027181986,-1.244516854,-0.864539419,-1.294516854,-1.294516854,-1.294516854,-1.027181986,-1.294516854,-1.294516854,-1.027181986,-1.501057751,-1.244516854,-1.501057751,-1.501057751,-1.501057751,-0.864539419,-1.294516854,-1.027181986,-1.027181986,-0.890139505,-1.027181986,-1.501057751,-1.244516854,-4.135891774,-2.688040093,-1.919947295,-2.688040093,-2.688040093,-4.136783735,-4.136783735,-4.135891774,-3.164572084,-4.136783735,-2.688040093,-4.136783735,-4.24227972,-4.136783735,-2.688040093,-4.136783735,-2.688040093,-4.370859406,-1.919947295
391.25,-1.03663525,-1.03663525,-1.03663525,-1.255000258,-1.03663525,-1.255000258,-0.870467969,-1.03663525,-1.03663525,-0.870467969,-1.03663525,-1.305000258,-1.305000258,-0.870467969,-0.898255313,-1.305000258,-1.305000258,-1.305000258,-1.512729688,-0.898255313,-1.512729688,-1.512729688,-1.255000258,-0.898255313,-0.898255313,-0.898391358,-1.03663525,-1.512729688,-1.305000258,-0.870467969,-1.305000258,-0.898255313,-1.03663525,-1.03663525,-0.870467969,-1.305000258,-1.305000258,-1.512729688,-1.512729688,-1.255000258,-1.255000258,-1.255000258,-1.305000258,-1.305000258,-1.03663525,-1.03663525,-1.512729688,-1.03663525,-1.03663525,-1.03663525,-1.037867906,-0.898255313,-1.512729688,-1.255000258,-1.037867906,-1.255000258,-1.512729688,-1.03663525,-1.255000258,-0.870467969,-1.305000258,-1.305000258,-1.305000258,-1.03663525,-1.305000258,-1.305000258,-1.03663525,-1.512729688,-1.255000258,-1.512729688,-1.512729688,-1.512729688,-0.870467969,-1.305000258,-1.03663525,-1.03663525,-0.898391358,-1.03663525,-1.512729688,-1.255000258,-4.174219275,-2.713255006,-1.940342609,-2.713255006,-2.713255006,-4.174783236,-4.174783236,-4.174219275,-3.195277509,-4.174783236,-2.713255006,-4.174783236,-4.279912561,-4.174783236,-2.713255006,-4.174783236,-2.713255006,-4.407307248,-1.940342609
397.25,-1.045861954,-1.045861954,-1.045861954,-1.265323569,-1.045861954,-1.265323569,-0.876864519,-1.045861954,-1.045861954,-0.876864519,-1.045861954,-1.315323569,-1.315323569,-0.876864519,-0.90639908,-1.315323569,-1.315323569,-1.315323569,-1.524525988,-0.90639908,-1.524525988,-1.524525988,-1.265323569,-0.90639908,-0.90639908,-0.906414473,-1.045861954,-1.524525988,-1.315323569,-0.876864519,-1.315323569,-0.90639908,-1.045861954,-1.045861954,-0.876864519,-1.315323569,-1.315323569,-1.524525988,-1.524525988,-1.265323569,-1.265323569,-1.265323569,-1.315323569,-1.315323569,-1.045861954,-1.045861954,-1.524525988,-1.045861954,-1.045861954,-1.045861954,-1.04616334,-0.90639908,-1.524525988,-1.265323569,-1.04616334,-1.265323569,-1.524525988,-1.045861954,-1.265323569,-0.876864519,-1.315323569,-1.315323569,-1.315323569,-1.045861954,-1.315323569,-1.315323569,-1.045861954,-1.524525988,-1.265323569,-1.524525988,-1.524525988,-1.524525988,-0.876864519,-1.315323569,-1.045861954,-1.045861954,-0.906414473,-1.045861954,-1.524525988,-1.265323569,-4.212481717,-2.738453535,-1.960689605,-2.738453535,-2.738453535,-4.212670258,-4.212670258,-4.212481717,-3.225950124,-4.212670258,-2.738453535,-4.212670258,-4.317205931,-4.212670258,-2.738453535,-4.212670258,-2.738453535,-4.443495878,-1.960689605
403.25,-1.054836453,-1.054836453,-1.054836453,-1.27546741,-1.054836453,-1.27546741,-0.883933134,-1.054815182,-1.054815182,-0.883933134,-1.054815182,-1.32544882,-1.32544882,-0.883933134,-0.914162268,-1.32544882,-1.32544882,-1.32544882,-1.5365,-0.914162268,-1.5365,-1.5365,-1.27546741,-0.914162268,-0.914162268,-0.914162268,-1.054836453,-1.5365,-1.32544882,-0.883933134,-1.32544882,-0.914162268,-1.054836453,-1.054836453,-0.883933134,-1.32544882,-1.32544882,-1.5365,-1.5365,-1.27546741,-1.27546741,-1.27546741,-1.32544882,-1.32544882,-1.054815182,-1.054815182,-1.5365,-1.054815182,-1.054815182,-1.054815182,-1.05455,-0.914162268,-1.5365,-1.27546741,-1.05455,-1.27546741,-1.5365,-1.054836453,-1.27546741,-0.883933134,-1.32544882,-1.32544882,-1.32544882,-1.054815182,-1.32544882,-1.32544882,-1.054815182,-1.5365,-1.27546741,-1.5365,-1.5365,-1.5365,-0.883933134,-1.32544882,-1.054815182,-1.054815182,-0.914162268,-1.054836453,-1.5365,-1.27546741,-4.250669893,-2.763622589,-1.980990723,-2.763622589,-2.763622589,-4.25044607,-4.25044607,-4.250669893,-3.256594405,-4.25044607,-2.763622589,-4.25044607,-4.354168113,-4.25044607,-2.763622589,-4.25044607,-2.763622589,-4.479344858,-1.980990723
409.25,-1.063673643,-1.063673643,-1.063673643,-1.285378266,-1.063673643,-1.285378266,-0.891841804,-1.063523448,-1.063523448,-0.891841804,-1.063523448,-1.335247004,-1.335247004,-0.891841804,-0.921667146,-1.335247004,-1.335247004,-1.335247004,-1.5485,-0.921667146,-1.5485,-1.5485,-1.285378266,-0.921667146,-0.921667146,-0.921667146,-1.063673643,-1.5485,-1.335247004,-0.891841804,-1.335247004,-0.921667146,-1.063673643,-1.063673643,-0.891841804,-1.335247004,-1.335247004,-1.5485,-1.5485,-1.285378266,-1.285378266,-1.285378266,-1.335247004,-1.335247004,-1.063523448,-1.063523448,-1.5485,-1.063523448,-1.063523448,-1.063523448,-1.06295,-0.921667146,-1.5485,-1.285378266,-1.06295,-1.285378266,-1.5485,-1.063673643,-1.285378266,-0.891841804,-1.335247004,-1.335247004,-1.335247004,-1.063523448,-1.335247004,-1.335247004,-1.063523448,-1.5485,-1.285378266,-1.5485,-1.5485,-1.5485,-0.891841804,-1.335247004,-1.063523448,-1.063523448,-0.921667146,-1.063673643,-1.5485,-1.285378266,-4.288687659,-2.788654474,-2.001244559,-2.788654474,-2.788654474,-4.288077497,-4.288077497,-4.288687659,-3.287190403,-4.288077497,-2.788654474,-4.288077497,-4.390807387,-4.288077497,-2.788654474,-4.288077497,-2.788654474,-4.51438765,-2.001244559
415.25,-1.072385634,-1.072385634,-1.072385634,-1.295093283,-1.072385634,-1.295093283,-0.900385514,-1.072037506,-1.072037506,-0.900385514,-1.072037506,-1.344789036,-1.344789036,-0.900385514,-0.928979951,-1.344789036,-1.344789036,-1.344789036,-1.5605,-0.928979951,-1.5605,-1.5605,-1.295093283,-0.928979951,-0.928979951,-0.928979951,-1.072385634,-1.5605,-1.344789036,-0.900385514,-1.344789036,-0.928979951,-1.072385634,-1.072385634,-0.900385514,-1.344789036,-1.344789036,-1.5605,-1.5605,-1.295093283,-1.295093283,-1.295093283,-1.344789036,-1.344789036,-1.072037506,-1.072037506,-1.5605,-1.072037506,-1.072037506,-1.072037506,-1.07135,-0.928979951,-1.5605,-1.295093283,-1.07135,-1.295093283,-1.5605,-1.072385634,-1.295093283,-0.900385514,-1.344789036,-1.344789036,-1.344789036,-1.072037506,-1.344789036,-1.344789036,-1.072037506,-1.5605,-1.295093283,-1.5605,-1.5605,-1.5605,-0.900385514,-1.344789036,-1.072037506,-1.072037506,-0.928979951,-1.072385634,-1.5605,-1.295093283,-4.326523901,-2.813538197,-2.021450511,-2.813538197,-2.813538197,-4.325560684,-4.325560684,-4.326523901,-3.317733129,-4.325560684,-2.813538197,-4.325560684,-4.427132038,-4.325560684,-2.813538197,-4.325560684,-2.813538197,-4.548590784,-2.021450511
421.25,-1.080964982,-1.080964982,-1.080964982,-1.30466125,-1.080964982,-1.30466125,-0.909322344,-1.08040574,-1.08040574,-0.909322344,-1.08040574,-1.3541725,-1.3541725,-0.909322344,-0.936148534,-1.3541725,-1.3541725,-1.3541725,-1.5725,-0.936148534,-1.5725,-1.5725,-1.30466125,-0.936148534,-0.936148534,-0.936148534,-1.080964982,-1.5725,-1.3541725,-0.909322344,-1.3541725,-0.936148534,-1.080964982,-1.080964982,-0.909322344,-1.3541725,-1.3541725,-1.5725,-1.5725,-1.30466125,-1.30466125,-1.30466125,-1.3541725,-1.3541725,-1.08040574,-1.08040574,-1.5725,-1.08040574,-1.08040574,-1.08040574,-1.07975,-0.936148534,-1.5725,-1.30466125,-1.07975,-1.30466125,-1.5725,-1.080964982,-1.30466125,-0.909322344,-1.3541725,-1.3541725,-1.3541725,-1.08040574,-1.3541725,-1.3541725,-1.08040574,-1.5725,-1.30466125,-1.5725,-1.5725,-1.5725,-0.909322344,-1.3541725,-1.08040574,-1.08040574,-0.936148534,-1.080964982,-1.5725,-1.30466125,-4.364181847,-2.838278817,-2.041608296,-2.838278817,-2.838278817,-4.362897003,-4.362897003,-4.364181847,-3.348220683,-4.362897003,-2.838278817,-4.362897003,-4.463150346,-4.362897003,-2.838278817,-4.362897003,-2.838278817,-4.581990324,-2.041608296
427.25,-1.089404245,-1.089404245,-1.089404245,-1.314130958,-1.089404245,-1.314130958,-0.918410374,-1.088676534,-1.088676534,-0.918410374,-1.088676534,-1.363494975,-1.363494975,-0.918410374,-0.943220748,-1.363494975,-1.363494975,-1.363494975,-1.5845,-0.943220748,-1.5845,-1.5845,-1.314130958,-0.943220748,-0.943220748,-0.943220748,-1.089404245,-1.5845,-1.363494975,-0.918410374,-1.363494975,-0.943220748,-1.089404245,-1.089404245,-0.918410374,-1.363494975,-1.363494975,-1.5845,-1.5845,-1.314130958,-1.314130958,-1.314130958,-1.363494975,-1.363494975,-1.088676534,-1.088676534,-1.5845,-1.088676534,-1.088676534,-1.088676534,-1.08815,-0.943220748,-1.5845,-1.314130958,-1.08815,-1.314130958,-1.5845,-1.089404245,-1.314130958,-0.918410374,-1.363494975,-1.363494975,-1.363494975,-1.088676534,-1.363494975,-1.363494975,-1.088676534,-1.5845,-1.314130958,-1.5845,-1.5845,-1.5845,-0.918410374,-1.363494975,-1.088676534,-1.088676534,-0.943220748,-1.089404245,-1.5845,-1.314130958,-4.40166473,-2.862881392,-2.061717633,-2.862881392,-2.862881392,-4.400087825,-4.400087825,-4.40166473,-3.378651169,-4.400087825,-2.862881392,-4.400087825,-4.498870596,-4.400087825,-2.862881392,-4.400087825,-2.862881392,-4.614622336,-2.061717633
433.25,-1.097695977,-1.097695977,-1.097695977,-1.323551198,-1.097695977,-1.323551198,-0.927407684,-1.096898272,-1.096898272,-0.927407684,-1.096898272,-1.372854044,-1.372854044,-0.927407684,-0.950244444,-1.372854044,-1.372854044,-1.372854044,-1.5965,-0.950244444,-1.5965,-1.5965,-1.323551198,-0.950244444,-0.950244444,-0.950244444,-1.097695977,-1.5965,-1.372854044,-0.927407684,-1.372854044,-0.950244444,-1.097695977,-1.097695977,-0.927407684,-1.372854044,-1.372854044,-1.5965,-1.5965,-1.323551198,-1.323551198,-1.323551198,-1.372854044,-1.372854044,-1.096898272,-1.096898272,-1.5965,-1.096898272,-1.096898272,-1.096898272,-1.09655,-0.950244444,-1.5965,-1.323551198,-1.09655,-1.323551198,-1.5965,-1.097695977,-1.323551198,-0.927407684,-1.372854044,-1.372854044,-1.372854044,-1.096898272,-1.372854044,-1.372854044,-1.096898272,-1.5965,-1.323551198,-1.5965,-1.5965,-1.5965,-0.927407684,-1.372854044,-1.096898272,-1.096898272,-0.950244444,-1.097695977,-1.5965,-1.323551198,-4.438975779,-2.88735098,-2.081778241,-2.88735098,-2.88735098,-4.437134523,-4.437134523,-4.438975779,-3.409022687,-4.437134523,-2.88735098,-4.437134523,-4.534301068,-4.437134523,-2.88735098,-4.437134523,-2.88735098,-4.646522884,-2.081778241
439.25,-1.105832737,-1.105832737,-1.105832737,-1.332970761,-1.105832737,-1.332970761,-0.936072354,-1.105119338,-1.105119338,-0.936072354,-1.105119338,-1.382347286,-1.382347286,-0.936072354,-0.957267477,-1.382347286,-1.382347286,-1.382347286,-1.6085,-0.957267477,-1.6085,-1.6085,-1.332970761,-0.957267477,-0.957267477,-0.957267477,-1.105832737,-1.6085,-1.382347286,-0.936072354,-1.382347286,-0.957267477,-1.105832737,-1.105832737,-0.936072354,-1.382347286,-1.382347286,-1.6085,-1.6085,-1.332970761,-1.332970761,-1.332970761,-1.382347286,-1.382347286,-1.105119338,-1.105119338,-1.6085,-1.105119338,-1.105119338,-1.105119338,-1.10495,-0.957267477,-1.6085,-1.332970761,-1.10495,-1.332970761,-1.6085,-1.105832737,-1.332970761,-0.936072354,-1.382347286,-1.382347286,-1.382347286,-1.105119338,-1.382347286,-1.382347286,-1.105119338,-1.6085,-1.332970761,-1.6085,-1.6085,-1.6085,-0.936072354,-1.382347286,-1.105119338,-1.105119338,-0.957267477,-1.105832737,-1.6085,-1.332970761,-4.476118226,-2.911692639,-2.10178984,-2.911692639,-2.911692639,-4.474038469,-4.474038469,-4.476118226,-3.439333339,-4.474038469,-2.911692639,-4.474038469,-4.569450047,-4.474038469,-2.911692639,-4.474038469,-2.911692639,-4.677728035,-2.10178984
445.25,-1.113807078,-1.113807078,-1.113807078,-1.342438436,-1.113807078,-1.342438436,-0.944162464,-1.113388116,-1.113388116,-0.944162464,-1.113388116,-1.392072284,-1.392072284,-0.944162464,-0.964337697,-1.392072284,-1.392072284,-1.392072284,-1.6205,-0.964337697,-1.6205,-1.6205,-1.342438436,-0.964337697,-0.964337697,-0.964337697,-1.113807078,-1.6205,-1.392072284,-0.944162464,-1.392072284,-0.964337697,-1.113807078,-1.113807078,-0.944162464,-1.392072284,-1.392072284,-1.6205,-1.6205,-1.342438436,-1.342438436,-1.342438436,-1.392072284,-1.392072284,-1.113388116,-1.113388116,-1.6205,-1.113388116,-1.113388116,-1.113388116,-1.11335,-0.964337697,-1.6205,-1.342438436,-1.11335,-1.342438436,-1.6205,-1.113807078,-1.342438436,-0.944162464,-1.392072284,-1.392072284,-1.392072284,-1.113388116,-1.392072284,-1.392072284,-1.113388116,-1.6205,-1.342438436,-1.6205,-1.6205,-1.6205,-0.944162464,-1.392072284,-1.113388116,-1.113388116,-0.964337697,-1.113807078,-1.6205,-1.342438436,-4.513095301,-2.935911429,-2.121752148,-2.935911429,-2.935911429,-4.510801034,-4.510801034,-4.513095301,-3.469581228,-4.510801034,-2.935911429,-4.510801034,-4.604325813,-4.510801034,-2.935911429,-4.510801034,-2.935911429,-4.708273853,-2.121752148
450,-1.12,-1.12,-1.12,-1.35,-1.12,-1.35,-0.95,-1.12,-1.12,-0.95,-1.12,-1.4,-1.4,-0.95,-0.97,-1.4,-1.4,-1.4,-1.63,-0.97,-1.63,-1.63,-1.35,-0.97,-0.97,-0.97,-1.12,-1.63,-1.4,-0.95,-1.4,-0.97,-1.12,-1.12,-0.95,-1.4,-1.4,-1.63,-1.63,-1.35,-1.35,-1.35,-1.4,-1.4,-1.12,-1.12,-1.63,-1.12,-1.12,-1.12,-1.12,-0.97,-1.63,-1.35,-1.12,-1.35,-1.63,-1.12,-1.35,-0.95,-1.4,-1.4,-1.4,-1.12,-1.4,-1.4,-1.12,-1.63,-1.35,-1.63,-1.63,-1.63,-0.95,-1.4,-1.12,-1.12,-0.97,-1.12,-1.63,-1.35,-4.542253669,-2.955000835,-2.137520499,-2.955000835,-2.955000835,-4.539805369,-4.539805369,-4.542253669,-3.493481709,-4.539805369,-2.955000835,-4.539805369,-4.631747498,-4.539805369,-2.955000835,-4.539805369,-2.955000835,-4.732012161,-2.137520499
451.25,-1.121609688,-1.121609688,-1.121609688,-1.35200325,-1.121609688,-1.35200325,-0.951445277,-1.121753281,-1.121753281,-0.951445277,-1.121753281,-1.402131037,-1.402131037,-0.951445277,-0.971503324,-1.402131037,-1.402131037,-1.402131037,-1.632503207,-0.971503324,-1.632503207,-1.632503207,-1.35200325,-0.971503324,-0.971503324,-0.9715,-1.121609688,-1.632503207,-1.402131037,-0.951445277,-1.402131037,-0.971503324,-1.121609688,-1.121609688,-0.951445277,-1.402131037,-1.402131037,-1.632503207,-1.632503207,-1.35200325,-1.35200325,-1.35200325,-1.402131037,-1.402131037,-1.121753281,-1.121753281,-1.632503207,-1.121753281,-1.121753281,-1.121753281,-1.121753281,-0.971503324,-1.632503207,-1.35200325,-1.121753281,-1.35200325,-1.632503207,-1.121609688,-1.35200325,-0.951445277,-1.402131037,-1.402131037,-1.402131037,-1.121753281,-1.402131037,-1.402131037,-1.121753281,-1.632503207,-1.35200325,-1.632503207,-1.632503207,-1.632503207,-0.951445277,-1.402131037,-1.121753281,-1.121753281,-0.9715,-1.121609688,-1.632503207,-1.35200325,-4.549910235,-2.960012406,-2.141664884,-2.960012406,-2.960012406,-4.54742359,-4.54742359,-4.549910235,-3.499764455,-4.54742359,-2.960012406,-4.54742359,-4.63893665,-4.54742359,-2.960012406,-4.54742359,-2.960012406,-4.738196404,-2.141664884
457.25,-1.129189224,-1.129189224,-1.129189224,-1.361695874,-1.129189224,-1.361695874,-0.958051611,-1.130246796,-1.130246796,-0.958051611,-1.130246796,-1.412691065,-1.412691065,-0.958051611,-0.978798053,-1.412691065,-1.412691065,-1.412691065,-1.644594612,-0.978798053,-1.644594612,-1.644594612,-1.361695874,-0.978798053,-0.978798053,-0.9787,-1.129189224,-1.644594612,-1.412691065,-0.958051611,-1.412691065,-0.978798053,-1.129189224,-1.129189224,-0.958051611,-1.412691065,-1.412691065,-1.644594612,-1.644594612,-1.361695874,-1.361695874,-1.361695874,-1.412691065,-1.412691065,-1.130246796,-1.130246796,-1.644594612,-1.130246796,-1.130246796,-1.130246796,-1.130246796,-0.978798053,-1.644594612,-1.361695874,-1.130246796,-1.361695874,-1.644594612,-1.129189224,-1.361695874,-0.958051611,-1.412691065,-1.412691065,-1.412691065,-1.130246796,-1.412691065,-1.412691065,-1.130246796,-1.644594612,-1.361695874,-1.644594612,-1.644594612,-1.644594612,-0.958051611,-1.412691065,-1.130246796,-1.130246796,-0.9787,-1.129189224,-1.644594612,-1.361695874,-4.586566258,-2.984000629,-2.161527766,-2.984000629,-2.984000629,-4.58390751,-4.58390751,-4.586566258,-3.529881122,-4.58390751,-2.984000629,-4.58390751,-4.67329084,-4.58390751,-2.984000629,-4.58390751,-2.984000629,-4.767531752,-2.161527766
